timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,Eindhoven,Den Bosch,Laurens Gerrets,1,0.00,0.00,1.34,1.45,2,0,2,1,1,0,"45,48","",2,5,1,0,1,0,1,0,1,0,9,7,6,3,3,4,7,16,52,48,0.00,0.00,1.51,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.50,3.70,1.22,1.70,2.85,5.00,1.62,2.20,Jan Louwers Stadion (Eindhoven)
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,Emmen,Dordrecht,Martijn Vos,1,0.00,0.00,1.47,1.79,1,2,3,2,0,2,"49","5,18",8,5,0,0,4,0,0,0,1,3,14,13,9,7,5,6,15,20,63,37,0.00,0.00,2.03,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.70,2.55,1.16,1.50,2.20,4.00,1.44,2.63,De Oude Meerdijk (Emmen)
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,Helmond Sport,Utrecht II,Kevin Puts,1,0.00,0.00,1.21,0.61,1,1,2,2,1,1,"25","8",3,4,2,0,1,0,0,2,0,1,8,6,2,1,6,5,17,8,60,40,0.00,0.00,0.96,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,3.70,5.25,1.18,1.62,2.45,4.20,1.67,2.10,GS Staalwerken Stadion (Helmond)
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,MVV,Cambuur,Stan Teuben,1,0.00,0.00,1.05,1.87,0,1,1,0,0,0,"","70",2,7,2,0,1,0,1,1,0,1,7,10,2,3,5,7,8,12,50,50,0.00,0.00,0.99,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.60,2.45,1.13,1.57,2.30,3.74,1.50,2.50,De Geusselt (Maastricht)
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,Oss,Excelsior,Martin Perez,1,0.00,0.00,1.00,1.95,3,1,4,1,0,1,"46,49,90'3","7",2,10,1,0,1,0,0,1,0,1,7,16,3,7,4,9,8,12,47,53,0.00,0.00,1.01,2.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.60,3.90,1.80,1.17,1.57,2.40,4.20,1.57,2.25,Frans Heesen Stadion (Oss)
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,Vitesse,Telstar,Robin Hensgens,1,0.00,0.00,1.16,1.61,2,3,5,1,0,1,"70,73","35,81,86",4,2,3,0,2,0,1,2,1,1,15,10,4,3,11,7,11,10,63,37,0.00,0.00,1.69,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.50,4.10,1.20,1.65,2.70,4.75,1.57,2.25,GelreDome (Arnhem)
1723300200,Aug 10 2024 - 2:30pm,complete,N/A,ADO Den Haag,VVV,Ingmar Oostrom,1,0.00,0.00,1.84,1.08,1,1,2,1,1,0,"38","69",2,0,3,1,0,0,2,2,0,0,7,6,3,3,4,3,15,15,50,50,0.00,0.00,1.04,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,4.10,4.33,1.14,1.57,2.39,3.98,1.62,2.20,Bingoal Stadion (Den Haag (‘s-Gravenhage))
1723387500,Aug 11 2024 - 2:45pm,complete,N/A,De Graafschap,Volendam,Edwin van de Graaf,1,0.00,0.00,1.71,2.16,4,3,7,3,2,1,"10,16,90'1,90'4","36,52,60",4,5,3,0,2,1,1,2,0,3,10,8,7,6,3,2,11,4,58,42,0.00,0.00,1.45,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.90,2.70,1.17,1.60,2.38,4.00,1.53,2.38,Stadion De Vijverberg (Doetinchem)
1723485600,Aug 12 2024 - 6:00pm,complete,N/A,AZ II,Roda JC,N/A,1,0.00,0.00,1.37,1.29,6,1,7,5,4,1,"12,15,29,34,56,59","32",7,10,0,0,3,0,0,0,2,1,16,12,9,7,7,5,10,11,55,45,0.00,0.00,2.07,1.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.90,2.38,1.14,1.57,2.38,3.95,1.53,2.38,AFAS Trainingscomplex (Wijdewormer)
1723485600,Aug 12 2024 - 6:00pm,complete,1450,PSV II,Ajax II,N/A,1,0.00,0.00,0.79,0.95,2,2,4,0,0,0,"55,90","85,90'5",7,7,1,0,2,0,0,1,0,2,23,21,11,9,12,12,12,7,58,42,0.00,0.00,2.62,2.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.75,2.75,1.18,1.53,2.25,4.20,1.50,2.50,Sportcomplex De Herdgang
