Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,SERENITY DREAM,13,26,32.5,31.0,1.0,0.0,0.5,0.0,0.0,0.0,32.5,0.0,31.1,$3.20
2,DION BAKER,13,9,30.5,30.5,-2.0,0.0,2.0,0.0,0.5,0.0,31.0,1.5,20.9,$4.80
3,TATTIE BOGLE,16,20,32.5,32.5,-3.0,0.0,0.0,0.0,1.0,0.0,30.5,2.0,17.8,$5.50
4,SHAW PARK,2,14,31.5,27.0,2.0,0.0,0.0,0.0,1.0,0.0,30.0,2.5,15.6,$6.50
6,FAI FAI,FU,84,29.5,29.5,0.0,-6.0,0.0,0.0,1.5,2.5,27.5,5.0,4.4,$21.00
5,STATION BAR,7,28,30.0,21.0,-2.0,0.0,-0.5,0.0,0.5,0.0,19.0,13.5,0.3,$301.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
6,DIOMED SPIRIT,15,9,43.5,34.0,2.5,0.0,0.0,0.0,2.5,0.0,39.0,0.0,45.0,$2.20
1,BONA FORTUNA,2,25,33.5,33.5,1.5,0.0,0.0,0.0,1.5,0.0,36.5,2.5,22.5,$4.40
2,MR COOL,19,10,40.5,33.5,1.0,0.0,0.0,0.0,1.5,0.0,36.0,3.0,18.0,$5.50
3,ANCIENT TIMES,5,25,37.0,36.5,-3.0,0.0,-0.5,0.0,0.0,0.0,33.0,6.0,3.6,$26.00
4,CRYPTO QUEST,2,5,0.0,10.0,1.5,0.0,0.0,0.0,0.0,0.0,11.5,27.5,0.5,$201.00
5,POP DANCER,2,27,0.0,10.0,1.5,0.0,0.0,0.0,1.0,0.0,12.5,26.5,0.5,$201.00

