Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
8,LUST,FU,75,20.5,20.5,0.0,-6.0,0.0,0.0,1.0,0.0,15.5,12.0,0.4,$301.00
9,BRIGHT DICK,FU,782,0.0,23.0,0.0,-6.0,0.0,0.0,0.0,0.0,17.0,10.5,0.4,$301.00
11,TEMPTED ANGEL,FU,172,21.0,21.0,0.0,-6.0,0.0,-0.5,-0.5,3.0,17.0,10.5,0.4,$301.00
12,RODERICK,FU,81,26.5,26.5,0.0,-6.0,-0.5,-1.0,-0.5,0.0,18.5,9.0,0.4,$301.00
13,SURVIVOR'S CODE,FU,106,22.0,22.0,0.0,-6.0,-0.5,-2.0,-1.0,1.0,13.5,14.0,0.4,$301.00
17,CROSSHAVEN,FU,74,16.0,16.0,0.0,-6.0,0.0,-0.5,-0.5,0.0,9.0,18.5,0.4,$301.00
3,VOLENDAM,21,29,28.5,22.0,-3.0,0.0,-1.0,0.0,0.0,2.0,20.0,scr,scr,scr
18,LIMBOCALL,4,48,24.0,24.0,0.0,-3.0,0.0,0.0,-0.5,0.0,20.5,scr,scr,scr
19,INCREDIBLE ARMY,2,38,26.0,14.0,0.0,-1.5,0.0,-0.5,1.0,3.0,16.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
9,GLORIOUSLY GLAM,10,31,38.0,30.0,0.0,-1.5,0.5,0.0,1.0,0.0,30.0,0.0,39.6,$2.50
8,SHE'S IDEAL,11,14,31.0,31.0,-3.0,0.0,0.0,-1.0,0.5,0.0,27.5,2.5,19.8,$5.00
2,BUNDLE OF INTEREST,4,5,31.0,26.0,-2.0,0.0,-0.5,-0.5,1.0,2.5,26.5,3.5,13.1,$7.50
5,MAJESTIC KING,9,49,27.5,27.5,0.0,-3.0,0.0,-1.5,2.5,0.0,25.5,4.5,7.9,$13.00
11,YUTORI,2,23,34.0,23.0,4.0,0.0,0.0,-1.5,-0.5,0.0,25.0,5.0,5.5,$18.00
1,BILL SILVERS,4,5,19.5,18.0,-2.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,0.4,$201.00
3,LAHORE DA KING,14,60,33.0,10.0,0.0,-3.0,0.5,0.0,-0.5,3.0,10.0,20.0,0.4,$201.00
4,JAVA WOOD,8,33,30.0,20.5,0.0,-1.5,0.0,-2.0,0.0,1.5,18.5,11.5,0.4,$201.00
6,NAVAGIO,2,31,34.0,15.5,0.0,-1.5,-0.5,0.0,1.5,0.0,15.0,15.0,0.4,$201.00
10,GOOFY GANDER,FU,83,23.5,23.5,0.0,-6.0,0.0,-0.5,0.0,0.0,17.0,13.0,0.4,$201.00
12,UNIDOS,5,10,26.5,21.0,-2.0,0.0,0.0,0.0,-0.5,0.0,18.5,11.5,0.4,$201.00
13,MR PERTH,2,32,23.0,20.0,0.0,-1.5,0.0,0.0,0.0,0.0,18.5,11.5,0.4,$201.00
14,MERCILESS,FU,155,23.0,23.0,0.0,-6.0,0.0,-1.0,-0.5,0.0,15.5,14.5,0.4,$201.00
15,COSMIC FUNK,11,5,28.5,21.5,-2.0,0.0,-0.5,0.0,-0.5,0.0,18.5,11.5,0.4,$201.00
16,AURORA MIST,3,32,26.5,10.0,0.0,-1.5,0.0,0.0,1.0,3.0,12.5,17.5,0.4,$201.00
7,RHYTHM KING,3,33,31.5,22.0,0.0,-1.5,-0.5,-2.0,0.5,3.0,21.5,scr,scr,scr
17,GREEN KITE,5,55,33.0,27.5,0.0,-3.0,0.0,-0.5,-0.5,0.0,23.5,scr,scr,scr
18,FAOLADH,11,31,32.5,32.0,0.0,-1.5,0.0,0.0,-0.5,3.0,33.0,scr,scr,scr
19,SUIR MONAD,2,31,28.5,27.5,0.0,-1.5,0.0,0.0,-0.5,0.0,25.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
