Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
6,MORE HIGHS ON ME,4,15,33.5,31.5,1.0,0.0,0.0,0.0,1.0,0.0,33.5,0.0,50.6,$2.00
3,BRUTIFY,4,9,29.0,29.0,-2.0,0.0,0.0,0.0,1.0,3.0,31.0,2.5,25.3,$4.00
7,SHIFTY TYCOON,2,15,28.5,28.5,1.5,0.0,0.0,0.0,-1.0,0.0,29.0,4.5,10.1,$10.00
2,BLONDIE'S TORONADO,7,28,29.0,26.0,-2.0,0.0,0.5,0.0,-1.0,2.0,25.5,8.0,1.5,$61.00
1,LORD DOMINO,2,15,30.0,18.0,4.0,0.0,0.0,0.0,0.0,1.5,23.5,10.0,0.5,$201.00
4,DECIMUS,2,17,29.5,19.0,4.0,0.0,-0.5,0.0,1.0,0.0,23.5,10.0,0.5,$201.00
5,KOWHAI,2,32,31.0,20.5,0.0,-1.5,0.0,0.0,1.0,0.0,20.0,13.5,0.5,$201.00
8,SAFE AND WARM,5,35,25.0,13.0,0.0,-1.5,-0.5,0.0,-1.0,3.0,13.0,20.5,0.5,$201.00
9,MONAGHAN'S BOY,6,14,26.5,23.5,0.0,0.0,-1.0,0.0,-0.5,2.0,24.0,9.5,0.5,$201.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
3,SHEANADH,FU,193,33.5,33.5,0.0,-6.0,0.0,0.0,-0.5,3.0,30.0,0.0,19.6,$5.00
10,BALGOWAN,16,9,33.5,23.5,3.5,0.0,0.0,0.0,0.0,3.0,30.0,0.0,19.6,$5.00
1,BRIAL ROSE,6,14,28.0,28.0,-2.0,0.0,0.5,0.0,1.0,2.0,29.5,0.5,17.6,$5.50
5,RUSSIAN SKY,3,18,31.0,28.0,2.0,0.0,0.0,0.0,-1.0,0.0,29.0,1.0,15.7,$6.50
4,PARTY DOLL,2,14,32.0,23.0,3.5,0.0,-0.5,0.0,2.5,0.0,28.5,1.5,13.1,$7.50
9,APPLE CIDER,11,15,28.0,26.5,-2.0,0.0,-0.5,0.0,0.5,0.0,24.5,5.5,2.2,$51.00
6,SEE YOU THEN,3,17,20.5,20.5,1.5,0.0,0.0,0.0,1.5,0.0,23.5,6.5,1.2,$81.00
7,BLACK PANTHER,FU,131,28.0,28.0,0.0,-6.0,0.0,0.0,1.0,0.0,23.0,7.0,1.0,$101.00
2,MIDNIGHT DEVIL,4,11,36.0,25.5,-2.0,0.0,-0.5,0.0,-0.5,2.0,24.5,scr,scr,scr
8,RAIN QUEEN,5,1,27.5,27.5,-2.0,0.0,-0.5,0.0,0.0,0.0,25.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,SHEER LUNACY,7,9,29.0,29.0,1.0,0.0,0.0,0.0,-0.5,2.0,31.5,0.0,57.0,$1.75
9,IMA GURU,11,15,28.5,27.0,-2.0,0.0,-0.5,0.0,1.0,2.0,27.5,4.0,14.2,$7.00
8,JAYZEAL,3,21,32.0,23.0,3.5,0.0,0.0,0.0,0.0,0.0,26.5,5.0,8.0,$13.00
6,MAJESTIC DEEL,4,10,31.0,23.5,0.5,0.0,-0.5,0.0,2.5,0.0,26.0,5.5,6.3,$16.00
3,STAR ROYAL,5,15,27.5,26.0,-2.0,0.0,0.0,0.0,0.0,0.0,24.0,7.5,2.3,$41.00
5,GEN ZED,4,22,27.5,19.0,3.5,0.0,0.0,0.0,0.5,0.0,23.0,8.5,1.1,$91.00
4,TWO SIGMA,7,11,34.5,18.5,3.5,0.0,-1.0,0.0,-1.0,0.0,20.0,11.5,0.6,$201.00
10,LORD CHAPEL,5,15,25.5,13.5,-2.0,0.0,0.0,0.0,-0.5,3.0,14.0,17.5,0.6,$201.00
1,SOUND OF JURA,FU,150,30.5,30.5,0.0,-6.0,0.0,0.0,-1.0,0.0,23.5,scr,scr,scr
7,TEDDY BOY,8,15,31.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,LIGHTNING FLASH,20,9,30.0,30.0,1.0,0.0,1.5,0.0,2.5,0.0,35.0,0.0,69.8,$1.45
2,WHISTLE DOWN,6,16,31.0,26.5,3.5,0.0,0.0,0.0,-1.0,0.0,29.0,6.0,5.6,$18.00
9,OPUS,6,28,28.0,28.0,0.5,0.0,0.0,0.0,0.5,0.0,29.0,6.0,5.6,$18.00
10,DASHING DONKEY,6,15,31.0,27.5,1.0,0.0,-1.0,0.0,0.5,0.0,28.0,7.0,3.5,$31.00
8,DREAMSTONE,6,15,28.5,25.5,1.0,0.0,-1.0,0.0,1.0,0.0,26.5,8.5,1.4,$71.00
12,BLONDE SUSPECT,14,10,33.5,21.0,2.5,0.0,-1.0,0.0,1.0,3.0,26.5,8.5,1.4,$71.00
4,HARRY CAVIAR,5,15,25.5,25.5,0.5,0.0,-0.5,0.0,0.0,0.0,25.5,9.5,0.7,$101.00
5,PHANTOM'S CHASE,7,15,28.0,28.0,-3.0,0.0,-1.0,0.0,0.0,0.0,24.0,11.0,0.7,$101.00
7,LUCKYHELEFT,12,19,30.5,28.0,-3.0,0.0,-1.0,0.0,-0.5,0.0,23.5,11.5,0.7,$101.00
11,SURELY SPECIAL,10,15,33.0,26.0,-2.0,0.0,-1.0,0.0,-0.5,3.0,25.5,9.5,0.7,$101.00
3,ATE IRON,8,11,27.0,27.5,-3.0,0.0,0.0,-0.5,-0.5,0.0,23.5,scr,scr,scr
6,AZEOLA,6,9,29.5,28.5,0.5,0.0,0.0,0.0,0.5,2.0,31.5,scr,scr,scr

