Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,MASTER DANDY,25,42,26.0,25.5,0.0,-1.5,0.0,0.0,1.5,0.0,25.5,0.0,21.6,$4.60
7,DORALEE,11,24,33.0,22.5,3.5,0.0,-1.0,0.0,0.5,0.0,25.5,0.0,21.6,$4.60
3,HENERY HAWK,31,22,31.5,26.0,-3.0,0.0,-1.0,0.0,0.5,2.5,25.0,0.5,19.5,$5.00
8,MACANUDO,4,23,24.5,24.5,-2.0,0.0,0.0,0.0,2.5,0.0,25.0,0.5,19.5,$5.00
5,SHE'S A GIFT,7,57,24.0,23.5,0.0,-3.0,-1.0,0.0,2.5,0.0,22.0,3.5,7.1,$14.00
2,THE FIXER,4,4,27.5,10.0,-2.0,0.0,-0.5,0.0,0.5,1.5,9.5,16.0,0.2,$501.00
6,BALLSGROVE BOY,2,40,26.0,10.5,0.0,-1.5,0.0,0.0,2.5,0.0,11.5,14.0,0.2,$501.00
9,GLOBAL EFFORT,2,19,33.0,10.0,4.0,0.0,-1.0,0.0,0.0,0.0,13.0,12.5,0.2,$501.00
4,SHEIK YERBOUTI,4,20,22.5,22.5,-3.0,0.0,0.0,0.0,1.0,1.5,22.0,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,FOREVER MY PRINCE,FU,70,39.0,39.0,0.0,-6.0,0.0,0.0,2.5,0.0,35.5,0.0,79.7,$1.26
1,IN THE CITY,5,15,25.5,25.5,0.5,0.0,0.0,0.0,1.5,0.0,27.5,8.0,2.4,$41.00
5,RYE,FU,88,31.5,31.5,0.0,-6.0,-1.0,0.0,2.5,0.0,27.0,8.5,1.6,$61.00
3,CHASING GOLD,6,14,32.0,24.0,1.0,0.0,-0.5,0.0,1.5,0.0,26.0,9.5,0.8,$101.00
4,EXPRESS TRAIN,4,14,34.5,20.0,3.5,0.0,0.0,0.0,1.5,0.0,25.0,10.5,0.8,$101.00
6,BLACKJACK,11,16,32.0,26.0,-3.0,0.0,-0.5,0.0,1.5,0.0,24.0,11.5,0.8,$101.00
7,PHIL'S DREAM,7,59,35.0,20.0,0.0,-3.0,0.0,0.0,2.5,0.0,19.5,16.0,0.8,$101.00
8,MISTER MCGREGOR,18,15,38.0,19.5,2.5,0.0,-1.0,0.0,-1.0,0.0,20.0,15.5,0.8,$101.00
9,PIDDIE'S PEARL,FU,108,28.5,28.5,0.0,-6.0,0.0,0.0,-1.0,0.0,21.5,14.0,0.8,$101.00
